Neighbourhood,F2020_Population_Projection,Assault_2019,Assault_Rate2019,AutoTheft_2019,AutoTheft_Rate2019,BreakAndEnter_2019,BreakAndEnter_Rate2019,Robbery_2019,Robbery_Rate2019,TheftOver_2019,TheftOver_Rate2019,Homicide_2019,Homicide_Rate2019,Shootings_2019,Shootings_Rate2019
Junction Area,15623,94,608.5324,31,200.6862,43,278.3712,15,97.10623,9,58.26374,0,0,2,12.9475
Broadview North,12372,69,563.0355,3,24.4798,25,203.9984,5,40.79967,1,8.159935,0,0,0,0
Princess-Rosethorn,12291,29,240.285,28,231.9993,33,273.4278,14,115.9997,5,41.42845,0,0,1,8.28569
North Riverdale,12585,71,567.0927,19,151.7572,43,343.4505,22,175.7189,5,39.9361,0,0,2,15.97444
Etobicoke West Mall,13072,50,389.1051,12,93.38522,8,62.25681,11,85.60311,6,46.69261,2,15.5642,3,23.3463
Forest Hill North,13588,41,303.9964,27,200.1928,38,281.7528,22,163.12,3,22.24364,0,0,1,7.414547
Glenfield-Jane Heights,33031,339,1039.208,83,254.4373,36,110.3584,47,144.079,12,36.78612,2,6.13102,30,91.9653
Greenwood-Coxwell,15470,122,795.2027,27,175.9875,48,312.8666,8,52.14444,4,26.07222,0,0,5,32.59027
Guildwood,10679,30,284.468,3,28.4468,10,94.82269,7,66.37588,1,9.482268,1,9.482268,0,0
Trinity-Bellwoods,18270,117,649.4948,24,133.2297,110,610.6362,18,99.92228,2,11.10248,0,0,1,5.551238
Victoria Village,19005,125,666.2403,16,85.27876,59,314.4654,13,69.28899,5,26.64961,1,5.329922,6,31.97953
Waterfront Communities-The Island,87808,831,1000.349,61,73.43116,337,405.6771,93,111.9524,75,90.28422,1,1.203789,10,12.0379
West Hill,29669,445,1518.305,44,150.1245,77,262.7179,73,249.0703,4,13.64769,2,6.823843,8,27.29537
West Humber-Clairville,37133,256,702.0238,484,1327.264,135,370.2079,72,197.4442,65,178.2482,2,5.484561,19,52.10333
Westminster-Branson,28248,109,389.9961,34,121.6501,38,135.96190000000001,8,28.62356,1,3.577945,0,0,1,3.577945
Kennedy Park,18407,221,1212.753,25,137.1893,41,224.9904,25,137.1893,6,32.92542,1,5.487571,2,10.97514
Kingsview Village-The Westway,23318,98,423.2713,40,172.7638,27,116.6156,15,64.78642,2,8.638189,0,0,3,12.95728
Bayview Woods-Steeles,14020,45,323.9274,21,151.1661,21,151.1661,6,43.19033,2,14.39678,1,7.198388,4,28.79355
Clanton Park,18742,86,469.8683,43,234.9342,44,240.3978,12,65.56302,4,21.85434,0,0,1,5.463585
